Memory MB nvidia-chip	memtotal	memfree	cached	active	buffers	inactive
390	7859.9	95	500.9	1977.8	5.8	522
391	7859.9	95	500.9	1977.8	5.8	522
392	7859.9	93.8	500.9	1979	5.8	522.2
393	7859.9	94.8	468.9	1956.2	5.6	511.7
394	7859.9	118.7	444.3	1940.6	5.2	502.2
395	7859.9	117.7	444.8	1941.8	5.2	501.5
396	7859.9	88.8	444.8	1971.4	5.2	501.5
397	7859.9	117.6	444.8	1941.9	5.2	501.5
398	7859.9	117.6	444.8	1941.9	5.2	501.5
399	7859.9	117.6	444.8	1941.9	5.2	501.5
400	7859.9	117.6	444.8	1941.9	5.2	501.5
401	7859.9	117.8	444.8	1941.7	5.2	501.5
402	7859.9	126.3	445.5	1933	5.2	502.3
403	7859.9	126.3	445.5	1933.5	5.2	502.3
404	7859.9	118.9	445.5	1940.9	5.2	502.3
405	7859.9	112.9	445.5	1946.7	5.2	502.3
406	7859.9	112.8	445.5	1946.8	5.2	502.3
407	7859.9	112.8	445.5	1946.8	5.2	502.3
408	7859.9	112.8	445.5	1946.8	5.2	502.3
409	7859.9	112.5	445.5	1947	5.2	502.3
410	7859.9	104.8	445.5	1954.8	5.2	502.3
411	7859.9	101.6	445.5	1957.9	5.2	502.3
412	7859.9	114.6	445.5	1944.6	5.2	502.3
413	7859.9	114.6	445.5	1944.6	5.2	502.3
414	7859.9	148.1	448.8	1909	5.2	505.1
415	7859.9	147.9	448.7	1908.8	5.2	505.4
416	7859.9	146.8	449.9	1908.8	5.2	506.6
417	7859.9	146.8	449.9	1908.8	5.2	506.6
418	7859.9	146.8	449.9	1908.8	5.2	506.7
419	7859.9	146.8	449.9	1908.8	5.2	506.7
420	7859.9	146.8	449.9	1908.8	5.2	506.8
421	7859.9	146.8	449.9	1908.8	5.2	506.8
422	7859.9	146.8	449.9	1908.8	5.2	506.8
423	7859.9	146.8	449.9	1908.8	5.2	506.9
424	7859.9	146.8	449.9	1908.8	5.2	506.9
425	7859.9	146.7	449.9	1908.8	5.2	506.9
426	7859.9	146.6	449.9	1908.8	5.2	507
427	7859.9	146.6	449.9	1908.8	5.2	507
